 (Half Day),(Meio Dia)
Product Enquiry,Consulta de Produto
Production,Produção
Production Order,Ordem de Produção
Production Order status is {0},Status de Ordem de Produção é {0}
Production Order {0} must be cancelled before cancelling this Sales Order,Ordem de produção {0} deve ser cancelado antes de cancelar esta pedido de venda
Production Order {0} must be submitted,Ordem de produção {0} deve ser apresentado
Production Orders,Ordens de Produção
Production Orders in Progress,Ordens de produção em andamento
Production Plan Item,Item do plano de produção
Production Plan Items,Itens do plano de produção
Production Plan Sales Order,Pedido de Venda do Plano de Produção
Production Plan Sales Orders,Ordens de Venda do Plano de Produção
Production Planning Tool,Ferramenta de Planejamento da Produção
Products,Produtos
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Os produtos serão classificados por peso em buscas padrão. Maior o peso, mais alto o produto irá aparecer na lista."
Profit and Loss,Lucros e perdas
Project,Projeto
Project Costing,Custo do Projeto
Project Details,Detalhes do Projeto
Project Manager,Gerente de Projetos
Project Milestone,Marco do Projeto
Project Milestones,Marcos do Projeto
Project Name,Nome do Projeto
Project Start Date,Data de início do Projeto
Project Type,Tipo de Projeto
Project Value,Valor do Projeto
Project activity / task.,Atividade / tarefa do projeto.
Project master.,Cadastro de projetos.
Project will get saved and will be searchable with project name given,O Projeto será salvo e poderá ser pesquisado através do nome dado
Project wise Stock Tracking,Rastreamento do Estoque por Projeto 
Project-wise data is not available for Quotation,Dados relativos ao Projeto não estão disponíveis para a Cotação
Projected,Projetado
Projected Qty,Qtde Projetada
Projects,Projetos
Projects & System,Projetos e Sistema
Prompt for Email on Submission of,Solicitar e-mail no envio da
Proposal Writing,Redação de Proposta
Provide email id registered in company,Fornecer Endereço de E-mail registrado na empresa
Public,Público
Publishing,Editoração
Pull sales orders (pending to deliver) based on the above criteria,Obter as Ordens de Venda (pendentes de entrega) com base nos critérios acima
Purchase,Compras
Purchase / Manufacture Details,Detalhes da Compra / Fabricação
Purchase Analytics,Análise de Compras
Purchase Common,Compras Comum
Purchase Details,Detalhes da Compra
Purchase Discounts,Descontos da Compra
Purchase Invoice,Fatura de Compra
Purchase Invoice Advance,Antecipação da Fatura de Compra
Purchase Invoice Advances,Antecipações da Fatura de Compra
Purchase Invoice Item,Item da Fatura de Compra
Purchase Invoice Trends,Tendências da Fatura de Compra  
Purchase Invoice {0} is already submitted,Fatura de Compra {0} já foi enviada
Purchase Order,Ordem de Compra
Purchase Order Date,Data da Ordem de Compra
Purchase Order Item,Item da Ordem de Compra
Purchase Order Item No,Nº do Item da Ordem de Compra
Purchase Order Item Supplied,Item da Ordem de Compra fornecido
Purchase Order Items,Itens da Ordem de Compra
Purchase Order Items Supplied,Itens da Ordem de Compra Fornecidos
Purchase Order Items To Be Billed,Itens da Ordem de Compra a Serem Faturados
Purchase Order Items To Be Received,Itens da Ordem de Compra a Serem Recebidos
Purchase Order Message,Mensagem da Ordem de Compra
Purchase Order Required,Ordem de Compra Obrigatória
Purchase Order Trends,Tendências da Ordem de Compra
Purchase Order number required for Item {0},Número do pedido requerido para item {0}
Purchase Order {0} is 'Stopped',Ordem de Compra {0} está ' parado '
Purchase Order {0} is not submitted,Ordem de Compra {0} não é submetido
Purchase Orders given to Suppliers.,Ordens de Compra dadas a fornecedores.
Purchase Receipt,Recibo de Compra
Purchase Receipt Item,Item do Recibo de Compra
Purchase Receipt Item Supplied,Item do Recibo de Compra Fornecido
Purchase Receipt Item Supplieds,Item do Recibo de Compra Fornecido
Purchase Receipt Items,Itens do Recibo de Compra
Purchase Receipt Message,Mensagem do Recibo de Compra
Purchase Receipt No,Nº do Recibo de Compra
Purchase Receipt Required,Recibo de Compra Obrigatório
Purchase Receipt Trends,Tendências de Recibo de Compras
Purchase Receipt number required for Item {0},Número Recibo de compra necessário para item {0}
Purchase Receipt {0} is not submitted,Recibo de compra {0} não é submetido
Purchase Register,Registro de Compras 
Purchase Return,Devolução de Compra
Purchase Returned,Compra Devolvida
Purchase Taxes and Charges,Impostos e Encargos sobre Compras
Purchase Taxes and Charges Master,Cadastro de Impostos e Encargos sobre Compras
Purchse Order number required for Item {0},Número de pedido purchse necessário para item {0}
Purpose,Finalidade
Purpose must be one of {0},Objetivo deve ser um dos {0}
QA Inspection,Inspeção QA
Qty,Qtde
Qty Consumed Per Unit,Qtde. consumida por unidade
Qty To Manufacture,Qtde Para Fabricação
Qty as per Stock UOM,Qtde conforme UDM de estoque
Qty to Deliver,Qtde a Entregar
Qty to Order,Qtde a Encomendar
Qty to Receive,Qtde a Receber
Qty to Transfer,Qtde a Transferir
Qualification,Qualificação
Quality,Qualidade
Quality Inspection,Inspeção de Qualidade
Quality Inspection Parameters,Parâmetros da Inspeção de Qualidade
Quality Inspection Reading,Leitura da Inspeção de Qualidade
Quality Inspection Readings,Leituras da Inspeção de Qualidade
Quality Inspection required for Item {0},Inspeção de Qualidade exigido para item {0}
Quality Management,Gerenciamento de Qualidade
Quantity,Quantidade
Quantity Requested for Purchase,Quantidade Solicitada para Compra
Quantity and Rate,Quantidade e Taxa
Quantity and Warehouse,Quantidade e Almoxarifado
Quantity cannot be a fraction in row {0},A quantidade não pode ser uma fração na linha {0}
Quantity for Item {0} must be less than {1},Quantidade de item {0} deve ser inferior a {1}
Quantity in row {0} ({1}) must be same as manufactured quantity {2},Quantidade em linha {0} ( {1} ) deve ser a mesma quantidade fabricada {2}
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Quantidade do item obtido após a fabricação / reembalagem a partir de determinadas quantidades de matéria-prima
Quantity required for Item {0} in row {1},Quantidade necessária para item {0} na linha {1}
Quarter,Trimestre
Quarterly,Trimestral
Quick Help,Ajuda Rápida
Quotation,Cotação
Quotation Date,Data da Cotação
Quotation Item,Item da Cotação
Quotation Items,Itens da Cotação
Quotation Lost Reason,Razão da Perda da Cotação
Quotation Message,Mensagem da Cotação
Quotation To,Cotação Para
Quotation Trends,Tendências das Cotações
Quotation {0} is cancelled,Cotação {0} está cancelada
Quotation {0} not of type {1},Cotação {0} não é do tipo {1}
Quotations received from Suppliers.,Cotações recebidas de fornecedores.
Quotes to Leads or Customers.,Cotações para Prospectos ou Clientes.
Raise Material Request when stock reaches re-order level,Emitir Pedido de Materiais quando o estoque atingir o nível de reposição
Raised By,Emitido(a) Por
Raised By (Email),Emitido(a) Por (E-Mail)
Random,Aleatório
Range,Alcance
Rate,Valor
Rate ,Valor 
Rate (%),Taxa (%)
Rate (Company Currency),Valor (Moeda da Empresa)
Rate Of Materials Based On,Valor Dos Materiais Com Base Em
Rate and Amount,Valor e Montante
Rate at which Customer Currency is converted to customer's base currency,Taxa na qual a moeda do cliente é convertida para a moeda base do cliente
Rate at which Price list currency is converted to company's base currency,Taxa na qual a moeda da lista de preços é convertida para a moeda base da empresa
Rate at which Price list currency is converted to customer's base currency,Taxa na qual a moeda da lista de preços é convertida para a moeda base do cliente
Rate at which customer's currency is converted to company's base currency,Taxa na qual a moeda do cliente é convertida para a moeda base da empresa
Rate at which supplier's currency is converted to company's base currency,Taxa na qual a moeda do fornecedor é convertida para a moeda base da empresa
Rate at which this tax is applied,Taxa em que este imposto é aplicado
Raw Material,Matéria-Prima
Raw Material Item Code,Código de Item da Matéria-Prima
Raw Materials Supplied,Matérias-Primas Fornecidas
Raw Materials Supplied Cost,Custo de Fornecimento de Matérias-Primas
Raw material cannot be same as main Item,Matéria-prima não pode ser a mesma do Item principal
Re-Order Level,Nível de Reposição
Re-Order Qty,Qtde para Reposição
Re-order,Reposição
Re-order Level,Nível de Reposição
Re-order Qty,Qtde para Reposição
Read,Ler
Reading 1,Leitura 1
Reading 10,Leitura 10
Reading 2,Leitura 2
Reading 3,Leitura 3
Reading 4,Leitura 4
Reading 5,Leitura 5
Reading 6,Leitura 6
Reading 7,Leitura 7
Reading 8,Leitura 8
Reading 9,Leitura 9
Real Estate,Imobiliário
Reason,Motivo
Reason for Leaving,Motivo da Saída
Reason for Resignation,Motivo para Demissão
Reason for losing,Motivo para Perder
Recd Quantity,Quantidade Recebida
Receivable,A Receber
Receivable / Payable account will be identified based on the field Master Type,Conta A Receber / A Pagar será identificada com base no campo Tipo Mestre
Receivables,A Receber
Receivables / Payables,A Receber / A Pagar
Receivables Group,Grupo A Receber
Received Date,Data de Recebimento
Received Items To Be Billed,Itens Recebidos A Faturar
Received Qty,Qtde Recebida
Received and Accepted,Recebido(a) e Aceito(a)
Receiver List,Lista de Recebedores
Receiver List is empty. Please create Receiver List,A Lista de Recebedores está vazia. Por favor crie a Lista de Recebedores
Receiver Parameter,Parâmetro do Recebedor
Recipients,Destinatários
Reconcile,Reconciliar
Reconciliation Data,Dados de Reconciliação
Reconciliation HTML,Reconciliação HTML
Reconciliation JSON,Reconciliação JSON
Record item movement.,Gravar o movimento do item.
Recurring Id,Id Recorrente
Recurring Invoice,Fatura Recorrente
Recurring Type,Tipo de Recorrência
Reduce Deduction for Leave Without Pay (LWP),Reduzir Dedução para Licença Não Remunerada (LNR)
Reduce Earning for Leave Without Pay (LWP),Reduzir Ganhos para Licença Não Remunerada (LNR)
Ref Code,Código de Ref.
Ref SQ,Ref SQ
Reference,Referência
Reference #{0} dated {1},Referência Nº {0} datada {1}
Reference Date,Data de Referência
Reference Name,Nome de Referência
Reference No & Reference Date is required for {0},Nº de Referência e Data de Referência são necessários para {0}
Reference No is mandatory if you entered Reference Date,Nº de Referência é obrigatório se você informou a Data de Referência
Reference Number,Nº de Referência
Reference Row #,Linha de Referência Nº
Refresh,Atualizar
Registration Details,Detalhes de Registro
Registration Info,Informações do Registro
Rejected,Rejeitado
Rejected Quantity,Quantidade rejeitada
